director,genres,histogram,imdb_id,length,name,poster_url,themes,tmdb_id,url_name,year
Peyton Reed,"Adventure,Science Fiction,Action","[3864, 12041, 11151, 56114, 70146, 239574, 177636, 174580, 25972, 45771]",tt0478970,117,Ant-Man,https://a.ltrbxd.com/resized/film-poster/8/3/5/5/7/83557-ant-man-0-230-0-345-crop.jpg?v=17265166a5,"Epic heroes,Crude humor and satire,High speed and special ops,Action comedy and silly heroics,Explosive and action-packed heroes vs. villains,Superheroes in action-packed battles with villains,Action-packed space and alien sagas,Fast cars and adrenaline-fueled action",102899,ant-man,2015
George Lucas,"Action,Science Fiction,Adventure","[3938, 12597, 10277, 39764, 40286, 126641, 115626, 179340, 76959, 158640]",tt0121766,140,Star Wars: Episode III – Revenge of the Sith,https://a.ltrbxd.com/resized/film-poster/5/0/7/0/9/50709-star-wars-episode-iii-revenge-of-the-sith-0-230-0-345-crop.jpg?v=cdb8caab10,"Epic heroes,Epic history and literature,Monsters, aliens, sci-fi and the apocalypse,Fantasy adventure,  heroism,  and swordplay,Imaginative space odysseys and alien encounters,Action-packed space and alien sagas,Historical battles and epic heroism,Martial arts and intense combat",1895,star-wars-episode-iii-revenge-of-the-sith,2005
Martin Scorsese,"Thriller,Drama,Crime","[903, 1659, 1250, 6248, 7373, 40593, 65948, 210539, 152732, 180226]",tt0407887,151,The Departed,https://a.ltrbxd.com/resized/sm/upload/jr/th/pu/pb/laefkgrfa3oKwvBtWTBtf2suiI4-0-230-0-345-crop.jpg?v=f5d8231026,"Crime, drugs and gangsters,Thrillers and murder mysteries,Ruthless gangsters and gritty crime,Guns,  crime,  and violent action,Heists and thrilling action,Drugs and violent crime,Suspenseful crime thrillers",1422,the-departed,2006
Ridley Scott,"Drama,Science Fiction,Adventure","[1400, 4632, 3719, 23602, 27848, 142093, 155931, 275863, 76075, 87962]",tt3659388,141,The Martian,https://a.ltrbxd.com/resized/film-poster/2/1/1/5/1/1/211511-the-martian-0-230-0-345-crop.jpg?v=71ca0c832e,"Monsters, aliens, sci-fi and the apocalypse,Imaginative space odysseys and alien encounters,Action-packed space and alien sagas,The apocalypse and dangerous technology,Humanity's odyssey: earth and beyond,Disastrous voyages and heroic survival",286217,the-martian,2015
David Yates,"Adventure,Fantasy","[2306, 5531, 3636, 19715, 22443, 103807, 111516, 237528, 96261, 183243]",tt1201607,130,Harry Potter and the Deathly Hallows: Part 2,https://a.ltrbxd.com/resized/film-poster/4/4/5/8/0/44580-harry-potter-and-the-deathly-hallows-part-2-0-230-0-345-crop.jpg?v=66f3769773,"Epic history and literature,Epic heroes,Fantasy adventure,  heroism,  and swordplay,Historical battles and epic heroism,Shakespearean drama and captivating vision,Martial arts and intense combat,Epic adventure and breathtaking battles",12445,harry-potter-and-the-deathly-hallows-part-2,2011
Wes Anderson,"Comedy,Drama,Romance","[987, 2677, 1954, 10995, 12345, 63770, 88908, 207979, 89683, 118491]",tt1748122,94,Moonrise Kingdom,https://a.ltrbxd.com/resized/sm/upload/v5/7f/mn/y8/ysTohGF7NY9Z6MYz9vLNYiyzh0r-0-230-0-345-crop.jpg?v=689b2b9ee8,"Relationship comedy,Laugh-out-loud relationship entanglements,Heartwarming Christmas and holiday joy,Charming romances and delightful chemistry,Quirky and endearing relationships,Hilarious comedy with catchy tunes",83666,moonrise-kingdom,2012
Byron Howard,"Animation,Comedy,Family,Fantasy","[3440, 7455, 6329, 30145, 39015, 139432, 137895, 199317, 55968, 98799]",tt2953050,102,Encanto,https://a.ltrbxd.com/resized/film-poster/4/9/6/5/9/2/496592-encanto-0-230-0-345-crop.jpg?v=3fbb07bf26,"Song and dance,Heartwarming Christmas and holiday joy,Fairy-tale fantasy and enchanted magic,Musicals with dazzling vocal performances,Adorable animals and heartwarming families,Kids' animated fun and adventure",568124,encanto,2021
Jean-Pierre Jeunet,"Romance,Comedy","[1819, 4024, 2234, 11244, 10552, 48972, 56721, 152339, 74104, 167303]",tt0211915,122,Amélie,https://a.ltrbxd.com/resized/sm/upload/ly/0v/ey/u7/pM20xF4WFyX7G3ie0YBXFp75aEC-0-230-0-345-crop.jpg?v=bc8a28c252,"Relationship comedy,Moving relationship stories,Captivating relationships and charming romance,Charming romances and delightful chemistry,Heartwarming Christmas and holiday joy,Fairy-tale fantasy and enchanted magic,Emotional and captivating fantasy storytelling",194,amelie,2001
Damien Chazelle,"Comedy,Drama","[2509, 5204, 4574, 16128, 19599, 51886, 67849, 126465, 78594, 78589]",tt10640346,189,Babylon,https://a.ltrbxd.com/resized/film-poster/5/4/2/7/7/3/542773-babylon-0-230-0-345-crop.jpg?v=aab2f01937,"Humanity and the world around us,Song and dance,Emotional life of renowned artists,Dance rhythms and catchy tunes,Legendary musicians and stardom,Erotic relationships and desire,Dreamlike,  quirky,  and surreal storytelling",615777,babylon-2022,2022
Wes Anderson,"Comedy,Drama","[1735, 4445, 4281, 19104, 26755, 80729, 103845, 142152, 54536, 36449]",tt14230388,105,Asteroid City,https://a.ltrbxd.com/resized/film-poster/6/6/8/5/5/5/668555-asteroid-city-0-230-0-345-crop.jpg?v=700bea7fd5,"Relationship comedy,Imaginative space odysseys and alien encounters,Action-packed space and alien sagas,Quirky and endearing relationships,Charming romances and delightful chemistry,Emotional and captivating fantasy storytelling",747188,asteroid-city,2023
